# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 239K of event 'cycles:ppp'
# Event count (approx.): 226544822357
#
# Overhead  Command  Shared Object      Symbol                                           
# ........  .......  .................  .................................................
#
     0.00%  netperf  [kernel.kallsyms]  [k] account_entity_dequeue
     0.00%  netperf  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  netperf  [unknown]          [k] 0xfffffe00000e2046
     0.00%  netperf  [kernel.kallsyms]  [k] decay_load
     0.00%  netperf  [kernel.kallsyms]  [k] update_fast_timekeeper
     0.00%  netperf  [kernel.kallsyms]  [k] cpu_needs_another_gp
     0.00%  netperf  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  netperf  [unknown]          [k] 0xfffffe00000e202d
     0.00%  netperf  netperf            [.] 0x0000000000017286
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_urg
     0.00%  netperf  [kernel.kallsyms]  [k] skb_shift
     0.00%  netperf  [kernel.kallsyms]  [k] __mix_pool_bytes
     0.00%  netperf  [kernel.kallsyms]  [k] __wake_up_common_lock
     0.00%  netperf  netperf            [.] 0x000000000001679c
     0.00%  netperf  [kernel.kallsyms]  [k] skb_gso_transport_seglen
     0.00%  netperf  netperf            [.] 0x0000000000016c8a
     0.00%  netperf  netperf            [.] 0x00000000000164cf
     0.00%  netperf  [kernel.kallsyms]  [k] ahci_handle_port_interrupt
     0.00%  netperf  [kernel.kallsyms]  [k] do_softirq_own_stack
     0.00%  netperf  [unknown]          [k] 0xfffffe000008a04a
     0.00%  netperf  [unknown]          [k] 0xfffffe000000600c
     0.00%  netperf  [kernel.kallsyms]  [k] exit_to_usermode_loop
     0.00%  netperf  [kernel.kallsyms]  [k] cmpxchg_double_slab.isra.60
     0.00%  netperf  netperf            [.] 0x00000000000155ba
     0.00%  netperf  [kernel.kallsyms]  [k] __internal_add_timer
     0.00%  netperf  [kernel.kallsyms]  [k] update_vsyscall
     0.00%  netperf  [kernel.kallsyms]  [k] account_system_time
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_rack_detect_loss
     0.00%  netperf  netperf            [.] 0x00000000000166c4
     0.00%  netperf  netperf            [.] 0x0000000000006088
     0.00%  netperf  [kernel.kallsyms]  [k] account_entity_enqueue
     0.00%  netperf  [kernel.kallsyms]  [k] update_load_avg
     0.00%  netperf  [kernel.kallsyms]  [k] calc_global_load
     0.00%  netperf  [kernel.kallsyms]  [k] policy_nodemask
     0.00%  netperf  [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  netperf  [kernel.kallsyms]  [k] _find_next_bit
     0.00%  netperf  [kernel.kallsyms]  [k] tick_do_update_jiffies64.part.10
     0.00%  netperf  [kernel.kallsyms]  [k] account_process_tick
     0.00%  netperf  [kernel.kallsyms]  [k] find_busiest_group
     0.00%  netperf  netperf            [.] 0x0000000000016652
     0.00%  netperf  [kernel.kallsyms]  [k] run_posix_cpu_timers
     0.00%  netperf  [kernel.kallsyms]  [k] apic_timer_interrupt
     0.00%  netperf  [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  netperf  [kernel.kallsyms]  [k] update_rq_clock
     0.00%  netperf  [kernel.kallsyms]  [k] intel_pmu_disable_all
     0.00%  netperf  netperf            [.] 0x0000000000016643
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_trim_head
     0.00%  netperf  [kernel.kallsyms]  [k] enqueue_entity
     0.00%  netperf  [kernel.kallsyms]  [k] __pskb_trim_head
     0.00%  netperf  [kernel.kallsyms]  [k] run_timer_softirq
     0.00%  netperf  [kernel.kallsyms]  [k] bictcp_cwnd_event
     0.00%  netperf  [unknown]          [k] 0xfffffe00000e2032
     0.00%  netperf  netperf            [.] 0x00000000000155b0
     0.00%  netperf  [kernel.kallsyms]  [k] __slab_alloc
     0.00%  netperf  netperf            [.] 0x0000000000016450
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_data_queue
     0.00%  netperf  [kernel.kallsyms]  [k] tick_sched_handle
     0.00%  netperf  [kernel.kallsyms]  [k] lock_page_memcg
     0.00%  netperf  netperf            [.] 0x00000000000172a6
     0.00%  netperf  [kernel.kallsyms]  [k] kill_fasync
     0.00%  netperf  [kernel.kallsyms]  [k] rb_prev
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_sacktag_one
     0.00%  netperf  netperf            [.] 0x0000000000016ca4
     0.00%  netperf  [kernel.kallsyms]  [k] credit_entropy_bits
     0.00%  netperf  [unknown]          [k] 0xfffffe0000006031
     0.00%  netperf  [unknown]          [k] 0xfffffe000008a031
     0.00%  netperf  [unknown]          [k] 0xfffffe000000603a
     0.00%  netperf  [unknown]          [k] 0xfffffe000008a00c
     0.00%  netperf  [unknown]          [k] 0xfffffe000000602f
     0.00%  netperf  [unknown]          [k] 0xfffffe000000604a
     0.00%  netperf  [unknown]          [k] 0xfffffe00001be01b
     0.00%  netperf  [kernel.kallsyms]  [k] end_repeat_nmi
     0.00%  netperf  [kernel.kallsyms]  [k] printk_nmi_exit
     0.00%  netperf  [kernel.kallsyms]  [k] intel_bts_enable_local
     0.00%  netperf  [kernel.kallsyms]  [k] x86_pmu_enable
     0.00%  netperf  [kernel.kallsyms]  [k] __perf_event_enable


#
# (Cannot load tips.txt file, please install perf!)
#
